id;unicast_address;config_complete;default_ttl;cid;blacklisted;u_uid;security;crpl;name;device_key;vid;pid
1;indigo National;false;46823;Checking Account;false;generating Arkansas;synthesize;Macedonia Japan;target Rhode Island;Intelligent;SDD Mobility;didactic Dynamic
2;schemas Industrial;false;83978;SMTP web-readiness Cyprus;false;olive;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon;superstructure
3;Kids;false;73590;backing up;false;COM;infomediaries Chief;Money Market Account end-to-end navigating;Alaska solution-oriented;best-of-breed generate;applications context-sensitive;Consultant back-end Fresh
4;Cambridgeshire Central;true;18210;Avon Bedfordshire;true;Philippine Peso incentivize;Metal;methodologies Granite Corporate;needs-based Sports Global;generating;actuating India;Buckinghamshire microchip
5;Games;false;26368;system-worthy pixel Phased;true;Bedfordshire Virginia;niches drive Ireland;strategic;microchip Ergonomic Auto Loan Account;Fantastic Fresh Ball;ubiquitous monitor;Home Loan Account
6;Keys invoice Research;true;48375;4th generation;true;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary;Engineer Toys Fantastic
7;Licensed;true;96209;mobile;true;Cocos (Keeling) Islands Awesome;USB alarm 1080p;feed invoice;Triple-buffered Borders magenta;Tasty Metal Chair Handcrafted Rubber Sausages Officer;Mississippi Product;Metal
8;complexity Direct Administrator;true;79534;program Refined Granite Gloves;true;deposit payment one-to-one;Granite Unbranded;Greenland models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track
9;Books CSS Holy See (Vatican City State);true;93258;Tasty Steel Pants Licensed Steel Shirt Sleek Granite Tuna;true;zero defect drive Practical;convergence monitor;Music;B2C systematic;program;Gorgeous Steel Salad Associate;Fantastic whiteboard
10;lavender;true;79798;Cloned Massachusetts Facilitator;true;Investment Account Investor Officer;Associate Intuitive Creative;Phased connecting;Automated;architect;lavender;copying primary invoice
